Sentiment,Sentence,preprocess_libyan_arabic,Processed_Text_base_ai
positive,وقت شبو,وقت شبو,وقت شبو
negative,وقت شافه,وقت شاف,وقت شاف
positive,و كل وقت نسمعها جديدة,كل وقت نسمع جديد,وقت سمع جديد
positive,و وقت السفر تكفي ورانا امية,وقت سفر تكف ورانا اميه,وقت سفر كف ورى امي
negative,و امسى الوقت فيه السارقين,الوقت فيه سارق,وقت سارق
negative,في وقت الزمقجي,وقت زمقج,وقت زمقج
negative,فوقت الزعل توضح اللي مخفيه,فوقت زعل توضح مخف,وقت زعل وضح خفى
negative,و وقت الزعل ترمي عليا همك,وقت زعل ترم عليا همك,وقت زعل رمى هم
positive,وقت الروق بكل تبجيل,وقت روق بكل تبجيل,وقت روق ب كل تبجيل
negative,في وقت رقدو فالليالي غيرنا,وقت رقدو فالليالي,وقت رقد ليل
negative,وقت الرفق خذلوني,وقت رفق خذلو,وقت رفق خذل
negative,وقت الرخاء نلقاه ضل خيالي,وقت رخاء نلق ضل خيالي,وقت رخاء نلقى ضل خيال
positive,و وقت الرخاء مبسوط رايق بالي,وقت رخاء مبسوط رايق بالي,وقت رخاء مبسوط رايق بال
negative,له وقت راسي بالسطير امدوي,له وقت راس سطير امدو,وقت راس سطر مد
negative,وقتها الدمعة خذلتي,وقتها دمع خذل,وقت دمع خذل
negative,وقت الدعاك اتقول غير انعاج,وقت دعا اتقول عاج,وقت دعا قول عاج
positive,و كل وقت دايرهم غوالي لي,كل وقت داير غوالي لي,وقت داير غلا لى
positive,من الوقت خلي بالك,الوقت خلي بالك,وقت خلي بال
positive,أوقات نخدم بيدي,اوق نخدم بيدي,وقت خدم يد
negative,في كل وقت و حين,كل وقت حين,وقت حين
positive,وقت الحق عندي اللسان سام,وقت الحق عندي سان سام,وقت حق عندي سان سام
positive,و في كل وقت تحضني بغمر,كل وقت تحض غمر,وقت حضن غمر
positive,و وقت الحصيدة حصيدة,وقت حصيد حصيد,وقت حصيد حصيد
negative,اللي وقت نحزن يمسكو الدربوكة,وقت نحزن يمسكو دربو,وقت حزن مسك درب
negative,ليا وقت ما جدت جديدة,ليا وقت جدت جديد,وقت جدد جديد
positive,و وقت الجد حنونة,وقت الجد حنون,وقت جد حنون
negative,و الوقت جاري بيهم,الوقت جار بيهم,وقت جار بيهم
positive,وقتك توا,وقتك توا,وقت توا
positive,في وقت متعود على تدليله,وقت متعود تدليل,وقت تعود دلال
positive,وقت التعب و الراحة,وقت تعب راح,وقت تعب راح
positive,و وقت التعب,وقت تعب,وقت تعب
negative,عليك وقت متعاكس غلب معداله,عليك وقت متعاكس غلب معداله,وقت تعاكس غلب معدال
negative,هالوقت بعض الناس ما تضمنهم,هالوق بعض ناس تضمن,وقت بعض ناس تضمن
positive,وقت الباس  ما يهابو اعداهم,وقت الباس يهابو اعدا,وقت باس يهابو اعدا
negative,الوقت واعر و الزمان صعيب,الوقت اعر زمان صعيب,وقت اعر زمان صعيب
positive,الوقت ايبين,الوقت ايب,وقت اب
positive,هاذا وقتك,هاذا وقتك,وقت
positive,و كيف الوفاء لا ينطلب  لا ينشرى,الوفاء ينطلب ينشر,وفاء طلب نشر
positive,ع الوفاء بايدينا,ع الوفاء ايد,وفاء ايد
positive,وفاء و أمل يا سي صار حاوي,وفاء امل يا سي صار حاو,وفاء امل سي صار حاو
negative,وين الوفاء بالعهد وين وعيدك,الوفاء عهد عيد,وفا عهد عيد
positive,و هي الوفاء تعرف اصول الغية,الوفاء تعرف اصول الغيه,وفا عرف اصل غي
negative,و الوعد عدا و راح,الوعد عدا راح,وعد عدا راح
negative,غير اوعدني و اخلفي,اوعد اخلف,وعد خلف
positive,وعدت بعد حييتني,وعدت حييتني,وعد حي
positive,أنا نوعدك تبقي بحلال امعاي,نوعد تبق بحلال امعا,وعد بقى حلال مع
positive,أنا نوعدك تبقي ابحلال امعاي,نوعد تبق ابحل امعا,وعد بقى حل مع
positive,غير اوعديني,اوعد,وعد
positive,غير اوعدي,اوعد,وعد
negative,يوعا ف قلبه غمة,يوعا ف قلب غمه,وع قلب غم
negative,و الوطى محتلة,الوطي محتل,وطي محتل
positive,فيها الوطى بستان,فيها الوطي ستان,وطي ستان
positive,الوطن ايريد يفرح لو اسبوع,الوطن ايريد يفرح لو اسبوع,وطن يريد فرح اسبوع
positive,الوطن ايروق و تطفى ناره,الوطن ايروق تطف نار,وطن يروق طفى نار
negative,لكن وطاني و وطيته,وطاني وطيته,وطن وطي
positive,احنى وطنا وطن مليان حب و حنان,احني وطنا وطن مليان حب حنان,وطن وطن مليان حب حنان
negative,وطني انهار منكم في العذاب,وطني هار منكم عذاب,وطن هرب عذاب
negative,على الوطن هبت من بعيد ارياح,الوطن هبت عيد ارياح,وطن هب عيد ارياح
positive,الوطن يلزمه تنظيم,الوطن يلزم تنظيم,وطن نظم
negative,و كيف الوطن ينجي م الاحقاد,الوطن ينج م حقاد,وطن نجا حقاد
negative,في وطن من ناسه اكتسى بجراح,وطن ناس اكتس جراح,وطن ناس اكتس جرح
negative,اليوم وطنا ميلاد صاير خاله,وطنا ميلاد صاير خاله,وطن ميلاد صاير خال
positive,وطنك يا مكحول الميم,وطنك يا مكحول ميم,وطن مكحول ميم
positive,و لا الوطن مصراته عليه تخلت,الوطن مصر تخل,وطن مصر تخل
negative,يا وطن يا مجروح بكرة تبرى,يا وطن يا مجروح بكره تبر,وطن مجروح بكر تبر
positive,انت وطن ليا او راك نشـيده,وطن ليا راك نشيد,انت وطن لي او راك نشيد
negative,و كيف يا وطن تلقاه الدواء,يا وطن تلق دواء,وطن لقى دواء
positive,و لا الوطن في لحظه عليه تخلت,الوطن لحظه تخل,وطن لحظه تخل
positive,لاجل الوطن ما يقولو اخسارا,الوطن يقولو اخسارا,وطن قول خسر
negative,هالوطن قداش منه,هالوطن قداش منه,وطن قداش
positive,وطنتها ما تقبل بقسمة ضيزة,وطنتها تقبل قسم ضيز,وطن قبل قسم ضيز
negative,الوطن غص,الوطن غص,وطن غص
positive,م الوطن ماهي غريبة,م الوطن ماهي غريب,وطن غريب
negative,هالوطن غارق في احروب و موت,هالوطن غارق احروب موت,وطن غرق حرب موت
positive,و وطني بعد لاعمار يبقى هامه,وطني اعمار يبق هام,وطن عمر بقى هام
negative,في وطن عايش غير فرحه فاني,وطن عايش فرحه فاني,وطن عاش فرح فان
negative,راهو الوطن عات فيه لاجرام,راهو الوطن عات فيه اجرام,وطن عات جرم
positive,للوطن لو ظلم صمودك ضوو,للوطن لو ظلم صمود ضوو,وطن ظلم صمود ضو
negative,اللي على وطنه طويل ابعاده,وطنه طويل ابعاد,وطن طويل بعد
positive,و هي الوطن و تضم الجميع,الوطن تضم جميع,وطن ضم جميع
negative,عليه الوطن ضحت بالكبود,الوطن ضحت كبود,وطن ضحى كبد
positive,الوطن ايريد من يصنع امجاده,الوطن ايريد يصنع امجاد,وطن صنع امجاد
negative,اليوم وطنا صاير قليل آمال,وطنا صاير امال,وطن صاير امل
negative,وطني صار مرتع للأوباش,وطني صار مرتع اوبا,وطن صار مرتع اوبا
positive,وطنك دونه شوق مسامي,وطنك شوق مسام,وطن شوق مسام
negative,اليوم الوطن مشرف عالهلاك,الوطن مشرف عالهلا,وطن شرف هل
negative,على وطن سود ايام ياما عاشها,وطن سود ايام ياما عاشها,وطن سود ايام عاش
positive,وطنك يا سمحة لميامي,وطنك يا سمح ميام,وطن سمح ميام
positive,وطنك يا سمحة لميام,وطنك يا سمح ميام,وطن سمح ميام
positive,لي وطن هو زين لوطان,لي وطن زين طان,وطن زين طان
positive,احني وطنا ربي ونيسه,احني وطنا ربي نيس,وطن ربي نيس
positive,و فالوطن رانا شامخين ابرزن,فالوطن رانا شامخ ابرزن,وطن رانا شامخ ابرزن
positive,لأجل الوطن و الدين,الوطن الدين,وطن دين
positive,عالوطن الودود,عالوطن دود,وطن دود
negative,و ليش الوطن هكي امدمرينا,ليش الوطن هكي امدمر,وطن دمر
positive,على الوطن دفعوهن التضحيات,الوطن دفعو تضح,وطن دفع تضح
positive,وطن دافي و حنون هوا الجود,وطن داف حنون هوا جود,وطن دفء حنون هوا جود
negative,في وطن خالي فيه ضي القمرة,وطن خالي فيه ضي قمر,وطن خال ضي قمر
negative,و الوطن و حلوه و مراره,الوطن حلوه مرار,وطن حلو مر
negative,و في الوطن حتي و حاسين بقزن,الوطن حاس قزن,وطن حس قزن
positive,و من اللي الوطن حبيبه,الوطن حبيب,وطن حبيب
positive,اللي على الوطن حامو فوارس,الوطن حامو ارس,وطن حامو ارس
negative,و الوطن حاله شين,الوطن حاله شين,وطن حال شين
positive,للوطن مو للجيب اصل تعبنا,للوطن مو جيب اصل تعب,وطن جيب اصل تعب
negative,راهو الوطن بجراحه عليل,راهو الوطن جراح عليل,وطن جرح عليل
negative,اللي هالوطن اجروحه سمو,هالوطن اجروح سمو,وطن جرح سمو
positive,و على وطنهم ما يتخلو,وطنهم يتخلو,وطن تخلو
negative,قبل الوطن ما يبقي نهيب,الوطن يبق نهيب,وطن بقى نهب
positive,معاه وطنا يبرن جميع اجروحه,وطنا يبرن جميع اجروح,وطن برن جمع جرح
negative,لي وطن بات فيه صاير مصار,لي وطن بات فيه صاير مصار,وطن بات صاير مصار
negative,الوطن ايموت وين يرفض غريبه,الوطن ايمو يرفض غريب,وطن ايمو رفض غريب
positive,هذا الوطن يستاهل دلال,الوطن يستاهل دلال,وطن استاهل دلال
positive,ما وطا غير المراقيب,وطا مراقيب,وطا مراقيب
negative,تحت الوطا متواري,الوطا متوار,وطا متوار
negative,اتواطي ف عينك كان جت في عيني,اتواط ف عينك جت عيني,وط عين جي عين
positive,و ما واطيت الا للصلاة,واطيت الا للصلاه,وط صلاه
positive,إيوضح معاني عديدة,ايوضح معاني عديد,وضح معنى عديد
positive,و وضح طريق الحق بعد غباشها,وضح طريق الحق غبا,وضح طريق الحق غبي
positive,وضحت الصورة وين جتنا خيانة,وضحت صور جتنا خيان,وضح صور جي خين
positive,وضح ما تخرب رسمتها,وضح تخرب رسم,وضح خرب رسم
positive,يا وصية الله وديني,يا وصيه الله وديني,وصيه الله دين
positive,وصا يا ملاقيهم ان صار ملاقى,وصا يا ملاق ان صار ملاق,وصى ملاق صار ملاق
positive,اموصي عليك الله في القران,اموص عليك الله قران,وصى الله قران
negative,وصلنا النهاية اليوم كثر خيرك,وصلنا النهايه كثر خير,وصل نهايه كثر خير
positive,لين نوصلو ميعادنا,لين نوصلو ميعاد,وصل ميعاد
positive,توصل لكل اللي نوا تخطيمة,توصل لكل نوا تخطيم,وصل كل نوح خطم
negative,حتى لين وصل لقطعة الذان,لين وصل قطع ذان,وصل قطع ذان
positive,و وين ما وصل قالوله,وصل قالول,وصل قالول
positive,وين ما وصل غالي نسيت أوجاعي,وصل غالي نسيت اوجاع,وصل غالي نسي وجع
positive,وين ماوصل وعنده دخل,ماوصل وعنده دخل,وصل عنده دخل
positive,وصل عدد ما حمايم الدوح,وصل عدد حمايم دوح,وصل عدد حمام دوح
positive,وصل و سلم عللي امته هاديها,وصل سلم عللي امته هاد,وصل سلم علل امته هاد
positive,وصل وسلم على من جا بالتباشير,وصل سلم جا تباشير,وصل سلم جا بشر
negative,و اللي دون يوصل للزعامة,يوصل زعام,وصل زعم
negative,و لانا وصلنا و لا لوراء ولينا,لانا وصلنا راء ولينا,وصل ري ولي
positive,وين ما وصل فرحان زاهي لونه,وصل رحان زاهي لونه,وصل رحان زاهي لون
positive,ياصل الدور,ياصل دور,وصل دور
negative,و وصلنا خبره,وصلنا خبر,وصل خبر
positive,لما وصلته كيف كان الحال,وصلته الحال,وصل حال
negative,لا توصله ماجنهم,توصل ماجنهم,وصل جنهم
positive,اللي يوصلها يبرى داه,يوصل يبر داه,وصل بر داه
positive,وصل الله اعداد الحصى و القزة,وصل الله اعداد الحصي القزه,وصل الله عدد حصي قزه
positive,اللي يوصل فيهم ياكلها,يوصل فيهم ياكلها,وصل اكل
positive,فالوصف ايريدو ادواوين,فالوصف ايريدو ادواوين,وصف يردو ديوان
positive,و وصفي ما يبي تطويل,وصفي يبي تطويل,وصف يبي طول
negative,هاذي وصفهن ما فيه تكذيب,هاذ وصفهن فيه تكذيب,وصف كذب
positive,و فالوصف كايد,فالوصف كايد,وصف كايد
positive,و ما يوصفنا القصايد,يوصف قصايد,وصف قصايد
positive,حتى وصفها لاشعار ما تتقنها,وصفها عار تتقن,وصف عار اتقن
positive,هالوصف يا صاحبتي,هالوصف يا صاحب,وصف صاحب
positive,و في وصفها شعري فقد اوزانه,وصفها شعر فقد اوزان,وصف شعر فقد وزن
positive,و كيف نوصف شعوري,نوصف شعور,وصف شعر
positive,عن وصف فريد فمضمونه,وصف ريد مضمون,وصف ريد مضمون
positive,في وصف التهامي,وصف تهام,وصف تهام
positive,وصف البدر اللي يوهج اسراجه,وصف البدر يوهج اسراج,وصف بدر وهج سراج
positive,وصف البدر,وصف البدر,وصف بدر
positive,و وصف احساس لسماح العوايد,وصف احساس سماح عوايد,وصف احساس سماح عوايد
positive,كيف نوصف احساسي,نوصف احساس,وصف احساس
positive,بيـه وصفتـك,بيه وصفتك,وصف
positive,و وين ما وصفاته,وصفاته,وصف
negative,وشيناه هول القرايب,وشيناه هول قرايب,وشى هول قرايب
negative,و الوشوشة في الوذنين,الوشوشه الوذنين,وشوشه وذنين
negative,ويش اللي امسبب في اوجاعه,ويش امسبب اوجاع,وش سبب اوجاع
negative,ويش تبي تاني ريحني,ويش تبي تاني ريح,وش تبى تانى ريح
negative,اللي في الوسع و وقت الشومة,الوسع وقت شوم,وسع وقت شوم
positive,وسـع الوطى يمتدّ,وسع الوطي يمتد,وسع وطي يمتد
positive,وسع الكون,وسع كون,وسع كون
positive,يوسع عليه في قبره,يوسع قبر,وسع قبر
positive,عليه يسعوا صبارة,يسع صبار,وسع صبر
negative,وسعت بالي عليك,وسعت بالي عليك,وسع بال عليك
negative,اللي قبل توسيعة البال عليا,توسيع البال عليا,وسع بال علي
negative,و انت ف وسط اليم,ف وسط اليم,وسط يم
negative,فـ وسط الوهم شقينا طريق,ف وسط الوهم شقينا طريق,وسط وهم شقى طريق
negative,وسط النهار اتبان كيف الغولة,وسط نهار اتبان غول,وسط نهار بان غول
negative,في وسط ناسي و دوم فكري دايح,وسط ناس دوم فكري دايح,وسط ناس دوم فكر دايح
positive,في وسط المالح يرموك,وسط المالح يرمو,وسط ملح رمى
positive,اللي وسطها مقسـوم زايد كيدها,وسطها مقسوم زايد كيدها,وسط مقسوم زايد كيد
negative,ف وسط المدينة الدم شلالات,ف وسط المدينه الدم شلالات,وسط مدينه دم شلال
positive,في وسط قليبي امسكنها,وسط قليب,وسط قليب
positive,في وسط قلبي قاعدة مدقوقة,وسط قلب قاعد مدقوق,وسط قلب قعد دقق
negative,ومن وسط قلبي قلت كيف الحال,ومن وسط قلب قلت الحال,وسط قلب قال حال
negative,فوسط القلب كاميها صهيد,فوسط قلب كام صهيد,وسط قلب صهيد
positive,وسط القلب سكن غلاها,وسط قلب سكن غلا,وسط قلب سكن غلا
negative,وسط قلبي مخبي,وسط قلب مخب,وسط قلب خبى
negative,و في وسط قلبي بايتة ﺍﻟﻐﺪﺍﻳﺪ,وسط قلب بايته,وسط قلب بات
positive,و وسط العيون انسكنه وجداني,وسط عيون انسكنه جدا,وسط عيون سكن جدا
positive,و في وسط عيني بالغلا شايلكم,وسط عيني غلا شايل,وسط عين غلا شال
negative,و وسط الأعلام ايبان عنده عادي,وسط علام ايبان عنده عاد,وسط علم بان عاد
positive,وسط الطرق في الجو العنيف,وسط طرق الجو العنيف,وسط طرق جو عنيف
positive,في وسط الشقا تلاقينا,وسط شقا تلاق,وسط شقى تلاقى
negative,وسط الشاشة وجهك ماد,وسط الشاشه وجهك ماد,وسط شاشه وجه ماد
positive,وسط خريطة كبرناها,وسط خريط كبر,وسط خريط كبر
negative,و وسط الحياة يا خالقي شتتهم,وسط الحياه يا خالق شتتهم,وسط حياه خالق شتت
positive,وسط الحشا مصيون,وسط حشا مصيون,وسط حشا مصيون
positive,وسط الحشا و طيف الغلا جال,وسط حشا طيف غلا جال,وسط حشا طيف غلا جال
negative,و وسط الحشاء حرقتني,وسط حشاء حرق,وسط حشا حرق
positive,و اوزن الكلمة زينها و اعدلها,اوزن كلم زينها اعدل,وزن كلم زين عدل
negative,وراكم يوم بي تجنو بلاها,وراكم يوم بي تجنو بلاها,ورى يوم تجني بلاه
positive,و من في الورش مولانا ايعينه,الورش مولا ايع,ورش مولى ايع
positive,يا ورده فعطرك و افلونك,يا ورده عطر افلون,ورده عطر افلون
positive,انـتي كيـف ورده يا زهاي قطفتـك,انتي ورده يا زهاي قطف,ورده زها قطف
positive,كما الورد يبي امية,كما الورد يبي اميه,ورد يبى اميه
positive,تورد لونه,تورد لونه,ورد لون
positive,و وين ما تورد لونها,تورد لونها,ورد لون
positive,يا ورد ما كيفك ادمنت عبير,يا ورد كيفك ادمن عبير,ورد كيف ادمن عبير
negative,ورد كيف العادة,ورد عاد,ورد عاد
positive,وردك شوية من عطور اخدودها,وردك شويه عطور اخدود,ورد شويه عطر خد
negative,في ورد متبعثر افيد عصابة,ورد متبعثر افيد عصاب,ورد تبعثر افاد عصب
negative,بتورد وتاوي الحبل,تورد تاو حبل,ورد تاو حبل
positive,يا وردتي يا اصل للعيدية,يا وردتي يا اصل عيد,ورد اصل عيد
positive,ماهو ورث تقسيمه مشاع,ماهو ورث تقسيم مشاع,ورث قسم شع
positive,لا ورث جدك كيف صنع ايديك,ورث جدك صنع ايد,ورث جد صنع يد
positive,وارتين من الأجداد و محايينا,وارتين جداد محا,ورتين جداد محا
negative,و احنا وراهم تنتهي قصتنا,احنا وراهم تنتهي قصتنا,وراهم تنتهي قصه
negative,وراهم مشيت,وراهم,وراء مشى
negative,وراها مية,وراها ميه,وراء مي
negative,ورا صيني ما لقي ما ايدير,ورا صيني لقي ايدير,وراء صين لقى ايدير
positive,وراها الناس يتمشو اسطار,وراها ناس يتمشو اسطار,ورا ناس تمشى سطر
positive,وراك الموجعة أرميها,وراك موجع ارم,ورا موجع ارم
positive,وراه كل شي ايصير,وراه كل شي ايصير,ورا كل شي يصير
positive,ورانا شبحنا شوق ياما رينا,ورانا شبح شوق ياما رينا,ورا شبح شوق ري
negative,من يوريه,يور,يوريه
positive,كيف ما بوده سقانا,بوده سقا,وده سقي
positive,وده ارضايا,وده ارضايا,وده ارضاي
negative,علي ودني الكمامة غام,ودني كمام غام,ودن كمام غام
positive,و الودن تسمع و العقول توازن,الودن تسمع عقول توازن,ودن سمع عقل وزن
positive,ودك ايجي متقادي,ودك ايج متقاد,ودك يجي قود
negative,و منهم كم ودعنا احباب,منهم كم ودعنا احباب,ودع احباب
positive,ود اشيوخ سمتهم صلاح,ود يوخ سمتهم صلاح,ود يوخ سمح صلاح
positive,و اللي ودنا ود نسقوه,ودنا ود نسق,ود ود نسق
positive,اللي ايودني بالود نا انكافيه,ايود بالود نا كاف,ود ود نا كاف
positive,و اللي ودك بالود أفزع دونه,ودك بالود افزع,ود ود فزع
positive,بالود النقي راضين,بالود النقي راض,ود نقي راض
positive,و الود النقي و الإخلاص,الود النقي خلاص,ود نقي خلاص
positive,و كان ودنا الود النقي,ودنا الود النقي,ود نقي
positive,اللي ودنا يلقانا نقيين,ودنا يلقا نقيين,ود نقى
positive,ودك عن الناس ماهو مخبى,ودك ناس ماهو مخب,ود ناس مخب
positive,أنا الود مني عفيف,الود مني عفيف,ود من عفيف
negative,ودك كمل,ودك كمل,ود كمل
positive,أنا ماني ودك تقرضها,ماني ودك تقرض,ماني ود قرض
negative,لا ود فوح فوحه,ود فوح فوحه,ود فوح فوح
positive,ودك غلا ودلاله,ودك غلا ودلاله,ود غلا دلال
negative,و الود بعيوبك كسرت ادروجه,الود عيوب كسر ادروج,ود عيب كسر درج
positive,و فيك ود عايش فى جذور كنينى,فيك ود عايش جذور كنيني,ود عايش جذر كنين
positive,لا يود لا يرحم اي خديعة,يود يرحم خديع,ود رحم خدع
negative,لا ود فها لا هنا لا رحمة,ود فها رحم,ود رحم
positive,و الود دايم مادام معروف,الود دايم دام روف,ود دايم دام روف
negative,و الود منك خديعة,الود منك خديع,ود خدع
positive,ود و حن مش صاحب سوايا,ود حن صاحب سوايا,ود حن صاحب سواي
positive,فيهن ود و حن الام,فيهن ود حن الام,ود حن ام
negative,و من بعد ودي نجرحه ونهينا,ودي نجرح ونهينا,ود جرح نهي
positive,و ودك ابنادم ايوسع ارواقه,ودك ابنادم ايوسع ارواق,ود اب نادم وسع ارواق
positive,لا نوخر لا يوم نعود,نوخر يوم نعود,وخر يوم عود
negative,لا وخر ولا قدم,وخر قدم,وخر قدم
positive,وحدة بوحدة اليوم هي مردودة,وحده بوحده مردود,وحده وحده مردود
positive,و وحدة مثيل البدر,وحده مثيل البدر,وحده مثيل بدر
positive,وحدة كبيرة قدر,وحده كبير قدر,وحده كبير قدر
negative,وحدة شبيهة اماني,وحده شبيهه,وحده شبيه
positive,وحدة فجمالك باهية ف الصيت,وحده فجمالك باهيه ف الصيت,وحده جمال بهي صيت
positive,وحدة بس اللي نبيها,وحده بس نبيها,وحده بس نبي
positive,وحدة بس,وحده بس,وحده بس
positive,وحدة بس أميرة قلبي,وحده بس امير قلب,وحده امير قلب
positive,وحدة بس ارتحت معاها,وحده بس ارتح معاها,وحده ارتاح مع
positive,وجهك نور,وجهك نور,وجه نور
negative,و وجهي منفخ يوجع فيا,وجهي منفخ يوجع فيا,وجه منفخ يوجع
negative,و واحد في وجهه مفتحة لبواب,وجهه مفتح لبواب,وجه فتح بواب
positive,يا وجه ضاحك ما مثيله رِيت,يا وجه ضاح مثيل ر يت,وجه ضاح مثل راي
positive,بوجه كيف الوصيف,بوجه صيف,وجه صيف
negative,وجوه صاحة مالعيب ما يتندو,وجوه صاح عيب يتندو,وجه صح عيب ندو
negative,و الوجه صاير شاحب,الوجه صاير شاحب,وجه صاير شحب
negative,و الوجه شين,الوجه شين,وجه شين
positive,على وجه من ساقي اعداه امرار,وجه ساق اعد امرار,وجه ساق اعد مرر
positive,و وجوهنا ديما مطاليق,وجوهنا ديما مطاليق,وجه ديما طلق
negative,الواحد وجهه دوم عبوس,وجهه دوم عبوس,وجه دوم عبس
negative,فوجه اللي محشد لافواج,فوجه محشد افواج,وجه حشد فوج
positive,وجوه جميلة في الاوصاف,وجوه جميل صاف,وجه جميل صاف
positive,و وجهه كما البدر لاتاق,وجهه كما البدر اتاق,وجه بدر اتق
negative,و من وجهكم ما تبان غير عيونه,وجهكم تبان عيون,وجه بان عين
negative,وجعكم وجعنا و أصل داكم دانا,وجعكم وجعنا اصل داكم دانا,وجع وجع اصل داك دان
negative,و اللي وجعني فوق ما وجعتني,وجعني وجعتني,وجع وجع
negative,و اوجاع قلبي,اوجاع قلب,وجع قلب
negative,و لا من وجعته و قالي مربوحة,وجعته قالي مربوح,وجع قال مربوح
positive,لا وجّعت  من صاين اقداري,وج عت صاين اقدار,وجع صاين اقدار
negative,وجع من شاف موته في حياة,وجع شاف موته حياه,وجع شاف موت حياه
positive,يعدي الوجع في زفرة انفاس,يعد الوجع زفر انفاس,وجع زفر نفس
negative,ما يوجعك ما راح,يوجع راح,وجع راح
positive,و لا يوجع حد و لا يصده,يوجع حد يصد,وجع حد صد
negative,وجعني حال وطني مالبلاوي,وجعني حال وطني مالبلاوي,وجع حال وطن بلاوي
negative,و لا من يوجعه الحال,يوجع الحال,وجع حال
negative,وجعني حالي,وجعني حالي,وجع حال
positive,ما وجعني الجرح منك,وجعني جرح منك,وجع جرح من
positive,لا وجعني البعد عنك,وجعني البعد عنك,وجع بعد عنك
negative,منكم اتعاني في وجع و امرارة,منكم اتعا وجع امرار,وجع امرار
negative,منكم اتعاني في وجع وامرارة,منكم اتعا وجع امرار,وجع امرار
positive,واثق موثق و عالن ارضاي,اثق موثق عالن ارضا,وثق وثق علن ارض
positive,كانوا واتيين,واتيين,وتين
negative,اللي وتروا قلبي ظليمة منهم,وتروا قلب ظليم منهم,وتر وا قلب ظليم منهم
negative,اللي وتروا قلبي,وتروا قلب,وتر وا قلب
positive,يا وتر للإحساس,يا وتر احساس,وتر احساس
positive,ما هناك والي مرتهن في والي,والي مرتهن والي,والي مره تهن والي
negative,ما والي فالعازة يضمك,والي عاز يضم,والي عاز يضم
positive,ما هناك والي الظن فيه ايخيب,والي الظن فيه ايخيب,والي ظن خيب
negative,ما هناك في والي اليوم امان,والي امان,والى امان
negative,اموالف عليا و الا هجر,اموالف عليا الا هجر,والف علي هجر
positive,نوالف اللي ديما يبي ميعادي,نوالف ديما يبي ميعاد,والف ديما يبي ميعاد
positive,أنى والدي سيد المحنة,والدي سيد محن,والد سيد محن
positive,يا والدي سامحني,يا والدي سامح,والد سامح
negative,والدهم و آلاهات,والدهم الاهات,والد اهات
positive,و الوالدة أم الوديدة,الوالده ام ديد,والد ام ديد
positive,و ما والي ايحير,والي ايحير,وال ي حير
negative,و لا والي عليك يا قلب سايل,والي عليك يا قلب سايل,وال لي عليك يا قلب سايل
negative,يوفى الكيل ما ينقص اقرام,يوف الكيل ينقص اقرام,واف كيل نقص قرم
negative,يواعد الموت,يواعد الموت,واعد موت
negative,واطي النظر ترتاح و تريّحنا,واطي نظر ترتاح تري حنا,واطي نظر ارتاح تري حن
negative,واطيت عينك ردها و جاوبني,واطيت عينك ردها جاوب,واطي عين رد جاوب
positive,واطي انظارك يا اعيون الريمـــا,واطي ظار يا اعيون ريما,واطي ظار عين ريم
positive,واطي انظارك  يا اعيون الريما,واطي ظار يا اعيون ريما,واطي ظار عين ريم
positive,و واطي علي ضيمك ان مال زمانك,واطي ضيم ان مال زمان,واطي ضيم ان مال زمان
negative,واطى شاني,واطي شاني,واطي شان
positive,واطي دوم ع اللي لها القيمة,واطي دوم ع لها قيم,واطي دوم قيم
negative,واطي الخشم و انشد ع الأحوال,واطي خشم انشد ع الاحوال,واطي خشم انشد حال
negative,واطى البيت عزيز صاير جالي,واطي البيت عزيز صاير جالي,واطي بيت عزيز صاير جال
negative,واطي اعيونك زيد غادي حيد,واطي اعيون زيد غاد حيد,واطي اعيون زيد غاد حيد
negative,واطوا عليا العين يحسابوني,واطوا عليا العين يحسابو,واطو عين حسب
positive,ما يواطي الراس,يواط راس,واط راس
negative,يواطي اعيونه,يواط اعيون,واط اعيون
positive,وازي لباسك كول ما يرضيك,وازي لباسك كول يرض,وازي لباس كول رضي
positive,وازي شبيهك بينهن و اختار,وازي شبيهك بينهن اختار,وازي شبيه بين اختار
positive,واديه بالقد نصف اجباله,واديه بالقد نصف اجب,وادي قد نصف وجب
positive,بوادي و حضر وعامرة المدينة,بوادي حضر عامر المدينه,وادي حضر عامر مدينه
negative,ﺍﻧﺘﻲ في وادي ﻳﻠﺰﻣﻚ ﺗﻮﺩﻳﺮﺓ,وادي,وادي
positive,يا واحشني,يا واحشني,واحش
positive,واتي دوم جاهز للتحدي,واتي دوم جاهز تحد,واتي دوم جاهز تحد
positive,لا ونّيت من حملي الثقيل,ون يت حملي ثقيل,و يت حمل ثقيل
negative,في وقتهن مغفوف مش عارفهن,وقتهن مغفوف عارف,وقت مغفوف عرف
negative,وهم يطعنو و فالوجه صفاقين,وهم يطعنو فالوجه صفاق,و هم يطعن وجه صفق
negative,وقو الضربة,وقو ضرب,و قو ضرب
positive,و في وذنهم مسمح كلام لساني,وذنهم مسمح كلام لساني,و ذن هم سمح كلام لسان
negative,واهم مستهين بعبارك,واهم مستهين عبار,و اهم مستهين عبار
positive,وانضني الدنيا شمسها و قمرها,وانضني دنيا شمس قمر,وان ضنى دنيا شمس قمر
positive,لا ما تهوني,تهو,تهون
negative,هيهات نبقوا احباب و الا أصحاب,هيهات نبق احباب الا اصحاب,هيهات نبق احباب الا اصحاب
